pre,post,broken,br,local,immediate,reason,status
"\Psi_{0,3}\mid \Phi_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{0,3}\mid \Pi_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{0,3}\mid \Psi_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{0,3}\mid \Sigma_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{2,4}\mid \Delta_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{2,4}\mid \Lambda_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{2,4}\mid \Phi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{2,4}\mid \Pi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{2,4}\mid \Psi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{2,4}\mid \Sigma_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Xi_{2,4}\mid \Delta_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Xi_{2,4}\mid \Lambda_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Xi_{2,4}\mid \Phi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Xi_{2,4}\mid \Pi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Xi_{2,4}\mid \Psi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Xi_{2,4}\mid \Sigma_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Delta_{1,1}\mid \Phi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Delta_{1,1}\mid \Psi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Gamma_{3,3}\mid \Delta_{3,1}",\bigl(\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Gamma_{3,3}\mid \Lambda_{3,1}",\bigl(\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Gamma_{3,3}\mid \Pi_{3,1}",\bigl(\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Gamma_{4,3}\mid \Theta_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Gamma_{4,3}\mid \Xi_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Lambda_{1,1}\mid \Phi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Lambda_{1,1}\mid \Psi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Lambda_{4,3}\mid \Theta_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Lambda_{4,3}\mid \Xi_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Phi_{1,1}\mid \Phi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Phi_{1,1}\mid \Psi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Phi_{4,3}\mid \Theta_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Phi_{4,3}\mid \Xi_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Pi_{1,1}\mid \Phi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Pi_{1,1}\mid \Psi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Pi_{3,1}\mid \Delta_{3,1}",\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)\;\bigl(\Xi_{3} \Delta_{3} \Gamma_{4}\bigr)",\Gamma_{4},left word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Pi_{3,1}\mid \Lambda_{3,1}",\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)\;\bigl(\Xi_{3} \Delta_{3} \Gamma_{4}\bigr)",\Gamma_{4},left word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Pi_{3,1}\mid \Pi_{3,1}",\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)\;\bigl(\Xi_{3} \Delta_{3} \Gamma_{4}\bigr)",\Gamma_{4},left word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Pi_{4,3}\mid \Theta_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Pi_{4,3}\mid \Xi_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Psi_{1,1}\mid \Phi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Psi_{1,1}\mid \Psi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Psi_{3,2}\mid \Delta_{3,1}",\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Psi_{3,4} \Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Psi_{3,2}\mid \Lambda_{3,1}",\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Psi_{3,4} \Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Psi_{3,2}\mid \Pi_{3,1}",\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Psi_{3,4} \Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Psi_{4,3}\mid \Theta_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Psi_{4,3}\mid \Xi_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Sigma_{1,3}\mid \Phi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Sigma_{1,3}\mid \Psi_{3,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Sigma_{4,3}\mid \Gamma_{3,3}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Theta_{4,5}\mid \Theta_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Theta_{4,5}\mid \Xi_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Xi_{3,2}\mid \Delta_{3,1}",\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Pi_{3,3} \Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Xi_{3,2}\mid \Lambda_{3,1}",\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Pi_{3,3} \Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Xi_{3,2}\mid \Pi_{3,1}",\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr)\;\bigl(\Xi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Pi_{3,3} \Delta_{3,3} \Gamma_{4,3}\bigr)\;\bigl(\Xi_{3,2} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Xi_{4,5}\mid \Theta_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Xi_{4,5}\mid \Xi_{3,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Delta_{3}\;\Gamma_{4}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \Delta_{3,1} \underline{\Gamma_{4}}\bigr)",\Gamma_{4},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{4,3}",break
"\Gamma_{4,3}\mid \Gamma_{2,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
